Id,Predicted
candidate11,0.9323833
candidate13,0.93165135
candidate15,0.92431766
candidate17,0.02546513
candidate22,0.9316715
candidate26,0.35641432
candidate33,0.92965513
candidate40,0.9323167
candidate42,0.22293359
candidate49,0.3208477
candidate56,0.3050716
candidate59,0.00015473366
candidate60,0.8926814
candidate68,0.91175723
candidate75,0.9326546
candidate76,0.9322847
candidate77,0.6144432
candidate79,0.9262269
candidate85,0.7764749
candidate99,0.9239497
candidate100,0.0024192333
candidate103,0.91394144
candidate107,0.83310163
candidate108,0.6400444
candidate112,4.887581e-06
candidate116,0.00013387203
candidate117,0.9112514
candidate118,0.91213936
candidate128,0.92707026
candidate129,0.9324144
candidate132,0.011347115
candidate137,0.9313035
candidate144,0.74872154
candidate146,0.062249005
candidate149,0.9345655
candidate165,0.9299295
candidate167,0.05844289
candidate170,0.65161216
candidate174,0.00043910742
candidate178,0.92528766
candidate189,0.09297675
candidate191,0.89294726
candidate194,0.23815185
candidate195,0.0036523938
candidate197,0.014722526
candidate201,0.0011878014
candidate204,0.9272044
candidate223,0.9337704
candidate239,0.93331534
candidate251,0.9270542
candidate252,0.9314365
candidate259,0.92625684
candidate264,0.8311013
candidate268,0.6476297
candidate274,0.9196386
candidate275,0.9324819
candidate278,0.009996235
candidate284,0.002959311
candidate286,0.93387383
candidate290,0.08418161
candidate300,0.8908723
candidate301,0.00038796663
candidate302,0.9225376
candidate309,0.2920516
candidate312,0.28953415
candidate329,0.92550856
candidate333,0.9252164
candidate344,0.9306661
candidate346,0.24526119
candidate348,0.8861132
candidate354,0.9332949
candidate357,0.93255544
candidate360,0.91366386
candidate363,0.010326266
candidate368,0.93452716
candidate373,0.93182725
candidate384,0.9275875
candidate390,0.026319861
candidate394,0.92744744
candidate396,0.61486506
candidate397,0.16757393
candidate398,0.012117863
candidate402,0.9338009
candidate403,0.92688274
candidate412,0.9286675
candidate424,0.0106160045
candidate427,0.0019889474
candidate431,0.1327942
candidate439,0.91991436
candidate440,0.9123028
candidate450,0.9152771
candidate451,0.57354414
candidate455,0.751513
candidate456,0.9311566
candidate458,0.57426035
candidate459,0.9333182
candidate463,0.07944083
candidate466,0.76366377
candidate483,0.76270163
candidate486,0.4124806
candidate489,0.91327596
candidate491,0.056492925
candidate493,0.9304629
candidate498,0.89461964
candidate499,8.046627e-05
candidate502,0.8146093
candidate509,0.9177733
candidate513,0.8935226
candidate524,0.0077571273
candidate530,0.9334269
candidate544,0.92944264
candidate556,0.2056706
candidate563,0.9307428
candidate564,0.931682
candidate565,0.9318043
candidate580,0.92877036
candidate582,0.00078749657
